Open,High,Close,Low,Volume,Date
1.8,1.83,1.83,1.8,453526,25-01-2018
1.83,1.84,1.82,1.805,647223,29-01-2018
1.83,1.835,1.835,1.805,440259,30-01-2018
1.815,1.825,1.81,1.77,386022,31-01-2018
1.79,1.855,1.855,1.76,765381,01-02-2018
1.815,1.855,1.855,1.815,461155,02-02-2018
1.81,1.81,1.775,1.765,513685,05-02-2018
1.7,1.715,1.69,1.66,764708,06-02-2018
1.73,1.79,1.66,1.655,775858,07-02-2018
1.655,1.675,1.57,1.56,1185509,08-02-2018
1.54,1.595,1.585,1.52,873497,09-02-2018
1.555,1.56,1.53,1.53,1026807,12-02-2018
1.545,1.6,1.595,1.54,457772,13-02-2018
1.595,1.595,1.56,1.55,299443,14-02-2018
1.605,1.605,1.56,1.55,167684,15-02-2018
1.565,1.62,1.6,1.56,559281,16-02-2018
1.62,1.665,1.66,1.6,392463,19-02-2018
1.64,1.74,1.725,1.64,1056263,20-02-2018
1.75,1.785,1.785,1.72,979798,21-02-2018
1.735,1.8,1.8,1.735,1022704,22-02-2018
1.8,1.83,1.82,1.785,730604,23-02-2018
1.82,1.875,1.87,1.81,920582,26-02-2018
1.875,1.91,1.895,1.855,1526653,27-02-2018
1.9,1.905,1.85,1.83,657102,28-02-2018
1.815,1.87,1.85,1.815,570897,01-03-2018
1.84,1.86,1.83,1.815,208179,02-03-2018
1.81,1.84,1.775,1.765,378036,05-03-2018
1.77,1.77,1.74,1.72,558409,06-03-2018
1.75,1.775,1.74,1.725,818102,07-03-2018
1.725,1.77,1.73,1.71,660551,08-03-2018
1.74,1.75,1.7,1.66,838622,09-03-2018
1.695,1.735,1.71,1.685,367138,12-03-2018
1.69,1.75,1.75,1.69,433527,13-03-2018
1.75,1.775,1.775,1.73,306503,14-03-2018
1.76,1.78,1.72,1.697,431686,15-03-2018
1.71,1.75,1.75,1.665,360260,16-03-2018
1.725,1.745,1.735,1.71,340744,19-03-2018
1.74,1.785,1.77,1.74,388976,20-03-2018
1.775,1.795,1.785,1.77,475383,21-03-2018
1.77,1.82,1.8,1.77,635812,22-03-2018
1.78,1.8,1.8,1.755,466734,23-03-2018
1.75,1.8,1.79,1.735,590527,26-03-2018
1.8,1.82,1.81,1.795,976580,27-03-2018
1.82,1.82,1.77,1.75,361413,28-03-2018
1.78,1.815,1.8,1.775,460341,29-03-2018
1.78,1.79,1.755,1.74,396743,03-04-2018
1.76,1.77,1.73,1.7,336967,04-04-2018
1.73,1.77,1.76,1.73,358266,05-04-2018
1.77,1.79,1.765,1.75,350584,06-04-2018
1.78,1.79,1.79,1.76,235627,09-04-2018
1.79,1.85,1.845,1.775,504054,10-04-2018
1.85,1.85,1.835,1.81,288178,11-04-2018
1.84,1.84,1.765,1.75,267245,12-04-2018
1.765,1.785,1.765,1.74,437634,13-04-2018
1.76,1.77,1.73,1.73,184701,16-04-2018
1.71,1.74,1.685,1.62,441879,17-04-2018
1.66,1.78,1.76,1.66,342608,18-04-2018
1.76,1.76,1.725,1.69,206590,19-04-2018
1.725,1.75,1.71,1.705,374132,20-04-2018
1.7,1.79,1.775,1.7,610185,23-04-2018
1.77,1.855,1.85,1.76,1025078,24-04-2018
1.86,1.99,1.98,1.83,1610591,26-04-2018
1.98,2.0,1.985,1.93,1243633,27-04-2018
1.985,2.08,2.06,1.98,956830,30-04-2018
2.06,2.07,2.06,2.03,990019,01-05-2018
2.04,2.06,2.02,2.0,687511,02-05-2018
2.02,2.03,2.02,1.995,514088,03-05-2018
1.995,2.01,1.985,1.965,438199,04-05-2018
1.98,2.03,2.03,1.965,308339,07-05-2018
2.03,2.09,2.08,2.03,568962,08-05-2018
2.08,2.12,2.11,2.07,439324,09-05-2018
2.1,2.14,2.02,2.01,677132,10-05-2018
2.02,2.09,2.09,2.02,241830,11-05-2018
2.1,2.14,2.13,2.09,637252,14-05-2018
2.13,2.13,2.1,2.1,591586,15-05-2018
2.1,2.19,2.19,2.1,632135,16-05-2018
2.16,2.18,2.17,2.12,586287,17-05-2018
2.16,2.18,2.13,2.13,288139,18-05-2018
2.13,2.17,2.17,2.13,445999,21-05-2018
2.13,2.18,2.16,2.12,361320,22-05-2018
2.17,2.19,2.18,2.155,752632,23-05-2018
2.14,2.18,2.16,2.13,315568,24-05-2018
2.15,2.19,2.18,2.14,287590,25-05-2018
2.18,2.22,2.2,2.17,890262,28-05-2018
2.2,2.22,2.2,2.19,696956,29-05-2018
2.19,2.23,2.22,2.1,1128434,30-05-2018
2.2,2.25,2.22,2.19,992273,31-05-2018
2.22,2.22,2.21,2.14,283568,01-06-2018
2.21,2.22,2.22,2.16,339294,04-06-2018
2.22,2.23,2.23,2.19,184273,05-06-2018
2.24,2.29,2.29,2.22,726356,06-06-2018
2.29,2.33,2.32,2.27,657197,07-06-2018
2.32,2.33,2.29,2.25,296763,08-06-2018
2.3,2.325,2.3,2.27,377641,12-06-2018
2.3,2.31,2.24,2.2,188276,13-06-2018
2.2,2.245,2.19,2.19,752423,14-06-2018
2.2,2.295,2.24,2.19,612690,15-06-2018
2.24,2.24,2.2,2.18,233270,18-06-2018
2.19,2.2,2.2,2.18,443932,19-06-2018
2.2,2.22,2.2,2.19,419002,20-06-2018
2.2,2.21,2.18,2.13,574010,21-06-2018
2.15,2.19,2.15,2.12,582658,22-06-2018
2.11,2.25,2.24,2.11,846402,25-06-2018
2.23,2.28,2.28,2.17,720203,26-06-2018
2.28,2.3,2.24,2.22,408366,27-06-2018
2.2,2.23,2.21,2.15,362311,28-06-2018
2.2,2.22,2.22,2.16,257357,29-06-2018
2.2,2.22,2.18,2.17,467800,02-07-2018
2.25,2.3,2.23,2.22,1729722,03-07-2018
2.2,2.22,2.19,2.17,333183,04-07-2018
2.18,2.2,2.16,2.135,462903,05-07-2018
2.16,2.2,2.18,2.13,693581,06-07-2018
2.17,2.18,2.17,2.15,412246,09-07-2018
2.18,2.19,2.17,2.14,316510,10-07-2018
2.14,2.16,2.08,2.08,899063,11-07-2018
2.08,2.12,2.09,2.08,614190,12-07-2018
2.08,2.11,2.03,2.03,403998,13-07-2018
2.0,2.03,1.975,1.97,846464,16-07-2018
1.975,2.02,1.99,1.97,603003,17-07-2018
2.01,2.09,2.08,1.98,843955,18-07-2018
2.08,2.215,2.21,2.07,691672,19-07-2018
2.2,2.24,2.22,2.15,905418,20-07-2018
2.2,2.22,2.21,2.18,404060,23-07-2018
2.12,2.21,2.2,2.12,290769,24-07-2018
2.21,2.23,2.21,2.19,343667,25-07-2018
2.2,2.24,2.22,2.2,226260,26-07-2018
2.23,2.3,2.3,2.22,606941,27-07-2018
2.29,2.33,2.31,2.26,582170,30-07-2018
2.3,2.33,2.29,2.23,546454,31-07-2018
2.29,2.32,2.29,2.285,215508,01-08-2018
2.3,2.33,2.3,2.26,438977,02-08-2018
2.23,2.3,2.28,2.23,242031,03-08-2018
2.27,2.28,1.97,1.845,5173060,06-08-2018
1.995,2.02,1.93,1.913,1620912,07-08-2018
1.93,2.01,1.95,1.93,959244,08-08-2018
1.95,1.962,1.905,1.905,821618,09-08-2018
1.91,1.97,1.935,1.875,1023462,10-08-2018
1.91,1.915,1.84,1.83,942772,13-08-2018
1.81,1.857,1.82,1.785,2102186,14-08-2018
1.825,1.85,1.83,1.815,989093,15-08-2018
1.81,1.83,1.82,1.785,872390,16-08-2018
1.82,1.878,1.83,1.81,1788292,17-08-2018
1.82,1.888,1.815,1.805,1743188,20-08-2018
2.0,2.34,2.3,2.0,5055459,21-08-2018
2.29,2.29,2.14,2.12,2533124,22-08-2018
2.21,2.245,2.2,2.15,1291939,23-08-2018
2.2,2.215,2.16,2.14,685748,24-08-2018
2.16,2.205,2.2,2.1,1389646,27-08-2018
2.22,2.22,2.17,2.14,771555,28-08-2018
2.18,2.19,2.17,2.14,807642,29-08-2018
2.19,2.22,2.19,2.18,952882,30-08-2018
2.19,2.27,2.23,2.14,1297278,31-08-2018
2.25,2.27,2.18,2.17,280203,03-09-2018
2.19,2.215,2.2,2.15,347224,04-09-2018
2.2,2.2,2.13,2.09,350782,05-09-2018
2.11,2.2,2.13,2.07,406283,06-09-2018
2.11,2.11,2.05,2.02,396504,07-09-2018
2.02,2.075,2.03,2.01,337046,10-09-2018
2.03,2.12,2.05,2.03,433122,11-09-2018
2.03,2.1,2.04,2.02,720069,12-09-2018
2.03,2.06,1.975,1.965,388576,13-09-2018
1.975,2.08,2.02,1.975,482728,14-09-2018
1.98,2.11,2.09,1.98,588194,17-09-2018
2.12,2.12,2.03,1.995,621222,18-09-2018
2.07,2.1,2.02,2.02,419483,19-09-2018
2.02,2.05,1.965,1.955,766703,20-09-2018
1.96,2.03,1.99,1.96,718863,21-09-2018
